instruction,input,output
Interpret OBD-II code U1089,,SCP (J1850) Invalid or Missing Data for Suspension
Interpret OBD-II code U1090,,SCP (J1850) Invalid or Missing Data for Non-Legislated Diagnostics
Interpret OBD-II code U1091,,SCP (J1850) Invalid or Missing Data for Non-Legislated Diagnostics
Interpret OBD-II code U1092,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1093,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1094,,SCP (J1850) Invalid or Missing Data for Experimental #2
Interpret OBD-II code U1095,,SCP (J1850) Invalid or Missing Data for Experimental #2
Interpret OBD-II code U1096,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1097,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1098,,SCP (J1850) Invalid or Missing Data for Vehicle Speed Control
Interpret OBD-II code U1099,,SCP (J1850) Invalid or Missing Data for Vehicle Speed Control
Interpret OBD-II code U1100,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1101,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1102,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1103,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1104,,SCP (J1850) Invalid or Missing Data for Chassis Status Request
Interpret OBD-II code U1105,,SCP (J1850) Invalid or Missing Data for Chassis Status Request
Interpret OBD-II code U1106,,SCP (J1850) Invalid or Missing Data for Legislated Diagnostics
Interpret OBD-II code U1107,,SCP (J1850) Invalid or Missing Data for Legislated Diagnostics
Interpret OBD-II code U1108,,SCP (J1850) Invalid or Missing Data for Electric Traction Drive (Inverter)
Interpret OBD-II code U1109,,SCP (J1850) Invalid or Missing Data for Electric Traction Drive (Inverter)
Interpret OBD-II code U1110,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1111,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1112,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1113,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1114,,SCP (J1850) Invalid or Missing Data for Charging System
Interpret OBD-II code U1115,,SCP (J1850) Invalid or Missing Data for Charging System
Interpret OBD-II code U1116,,SCP (J1850) Invalid or Missing Data for Electrical Energy Management
Interpret OBD-II code U1117,,SCP (J1850) Invalid or Missing Data for Electrical Energy Management
Interpret OBD-II code U1118,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1119,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1120,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1121,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1122,,SCP (J1850) Invalid or Missing Data for Odometer
Interpret OBD-II code U1123,,SCP (J1850) Invalid or Missing Data for Odometer
Interpret OBD-II code U1124,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1125,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1126,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1127,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1128,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1129,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1130,,SCP (J1850) Invalid or Missing Data for Fuel System
Interpret OBD-II code U1131,,SCP (J1850) Invalid or Missing Data for Fuel System
Interpret OBD-II code U1132,,SCP (J1850) Invalid or Missing Data for Vehicle Motion
Interpret OBD-II code U1133,,SCP (J1850) Invalid or Missing Data for Vehicle Motion
Interpret OBD-II code U1134,,SCP (J1850) Invalid or Missing Data for Ignition Switch / Starter
Interpret OBD-II code U1135,,SCP (J1850) Invalid or Missing Data for Ignition Switch / Starter
Interpret OBD-II code U1136,,SCP (J1850) Invalid or Missing Data for Telltales
Interpret OBD-II code U1137,,SCP (J1850) Invalid or Missing Data for Telltales
Interpret OBD-II code U1138,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1139,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1140,,SCP (J1850) Invalid or Missing Data for Gateway
Interpret OBD-II code U1141,,SCP (J1850) Invalid or Missing Data for Gateway
Interpret OBD-II code U1142,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1143,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1144,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1145,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1146,,SCP (J1850) Invalid or Missing Data for Vehicle Security
Interpret OBD-II code U1147,,SCP (J1850) Invalid or Missing Data for Vehicle Security
Interpret OBD-II code U1148,,SCP (J1850) Invalid or Missing Data for Audio Control
Interpret OBD-II code U1149,,SCP (J1850) Invalid or Missing Data for Audio Control
Interpret OBD-II code U1150,,SCP (J1850) Invalid or Missing Data for Audible Warnings
Interpret OBD-II code U1151,,SCP (J1850) Invalid or Missing Data for Audible Warnings
Interpret OBD-II code U1152,,SCP (J1850) Invalid or Missing Data for Experimental #3
Interpret OBD-II code U1153,,SCP (J1850) Invalid or Missing Data for Experimental #3
Interpret OBD-II code U1154,,SCP (J1850) Invalid or Missing Data for Compact Disc
Interpret OBD-II code U1155,,SCP (J1850) Invalid or Missing Data for Compact Disc
Interpret OBD-II code U1156,,SCP (J1850) Invalid or Missing Data for Digital Signal Processing
Interpret OBD-II code U1157,,SCP (J1850) Invalid or Missing Data for Digital Signal Processing
Interpret OBD-II code U1158,,SCP (J1850) Invalid or Missing Data for Antenna
Interpret OBD-II code U1159,,SCP (J1850) Invalid or Missing Data for Antenna
Interpret OBD-II code U1160,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1161,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1162,,SCP (J1850) Invalid or Missing Data for Digital Audio Tape
Interpret OBD-II code U1163,,SCP (J1850) Invalid or Missing Data for Digital Audio Tape
Interpret OBD-II code U1164,,SCP (J1850) Invalid or Missing Data for Tuner / Receiver
Interpret OBD-II code U1165,,SCP (J1850) Invalid or Missing Data for Tuner / Receiver
Interpret OBD-II code U1166,,SCP (J1850) Invalid or Missing Data for Cassette Tape
Interpret OBD-II code U1167,,SCP (J1850) Invalid or Missing Data for Cassette Tape
Interpret OBD-II code U1168,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1169,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1170,,SCP (J1850) Invalid or Missing Data for Cellular Phone / Paging System
Interpret OBD-II code U1171,,SCP (J1850) Invalid or Missing Data for Cellular Phone / Paging System
Interpret OBD-II code U1172,,SCP (J1850) Invalid or Missing Data for Remote Button Control
Interpret OBD-II code U1173,,SCP (J1850) Invalid or Missing Data for Remote Button Control
Interpret OBD-II code U1174,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1175,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1176,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1177,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1178,,SCP (J1850) Invalid or Missing Data for Climate Control (HVAC)
Interpret OBD-II code U1179,,SCP (J1850) Invalid or Missing Data for Climate Control (HVAC)
Interpret OBD-II code U1180,,SCP (J1850) Invalid or Missing Data for Personalization (Memory) Features
Interpret OBD-II code U1181,,SCP (J1850) Invalid or Missing Data for Personalization (Memory) Features
Interpret OBD-II code U1182,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1183,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1184,,SCP (J1850) Invalid or Missing Data for Window Wiper / Washer
Interpret OBD-II code U1185,,SCP (J1850) Invalid or Missing Data for Window Wiper / Washer
Interpret OBD-II code U1186,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1187,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1188,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1189,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1190,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1191,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1192,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1193,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1194,,SCP (J1850) Invalid or Missing Data for Mirrors
Interpret OBD-II code U1195,,SCP (J1850) Invalid or Missing Data for Mirrors
Interpret OBD-II code U1196,,SCP (J1850) Invalid or Missing Data for Door Locks
Interpret OBD-II code U1197,,SCP (J1850) Invalid or Missing Data for Door Locks
Interpret OBD-II code U1198,,SCP (J1850) Invalid or Missing Data for External Access (Doors)
Interpret OBD-II code U1199,,SCP (J1850) Invalid or Missing Data for External Access (Doors)
Interpret OBD-II code U1200,,SCP (J1850) Invalid or Missing Data for Seat Motion / Control
Interpret OBD-II code U1201,,SCP (J1850) Invalid or Missing Data for Seat Motion / Control
Interpret OBD-II code U1202,,SCP (J1850) Invalid or Missing Data for Windows
Interpret OBD-II code U1203,,SCP (J1850) Invalid or Missing Data for Windows
Interpret OBD-II code U1204,,SCP (J1850) Invalid or Missing Data for Steering Column
Interpret OBD-II code U1205,,SCP (J1850) Invalid or Missing Data for Steering Column
Interpret OBD-II code U1206,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1207,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1208,,SCP (J1850) Invalid or Missing Data for Seat Switches
Interpret OBD-II code U1209,,SCP (J1850) Invalid or Missing Data for Seat Switches
Interpret OBD-II code U1210,,SCP (J1850) Invalid or Missing Data for Restraints
Interpret OBD-II code U1211,,SCP (J1850) Invalid or Missing Data for Restraints
Interpret OBD-II code U1212,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1213,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1214,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1215,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1216,,SCP (J1850) Invalid or Missing Data for External Lamp Outage
Interpret OBD-II code U1217,,SCP (J1850) Invalid or Missing Data for External Lamp Outage
Interpret OBD-II code U1218,,SCP (J1850) Invalid or Missing Data for External Lamps
Interpret OBD-II code U1219,,SCP (J1850) Invalid or Missing Data for External Lamps
Interpret OBD-II code U1220,,SCP (J1850) Invalid or Missing Data for Interior Lamp Outage
Interpret OBD-II code U1221,,SCP (J1850) Invalid or Missing Data for Interior Lamp Outage
Interpret OBD-II code U1222,,SCP (J1850) Invalid or Missing Data for Interior Lamps
Interpret OBD-II code U1223,,SCP (J1850) Invalid or Missing Data for Interior Lamps
Interpret OBD-II code U1224,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1225,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1226,,SCP (J1850) Invalid or Missing Data for Body Status Request
Interpret OBD-II code U1227,,SCP (J1850) Invalid or Missing Data for Body Status Request
Interpret OBD-II code U1228,,SCP (J1850) Invalid or Missing Data for Tires
Interpret OBD-II code U1229,,SCP (J1850) Invalid or Missing Data for Tires
Interpret OBD-II code U1230,,SCP (J1850) Invalid or Missing Data for Electric Defrost
Interpret OBD-II code U1231,,SCP (J1850) Invalid or Missing Data for Electric Defrost
Interpret OBD-II code U1232,,SCP (J1850) Invalid or Missing Data for Navigation
Interpret OBD-II code U1233,,SCP (J1850) Invalid or Missing Data for Navigation
Interpret OBD-II code U1234,,SCP (J1850) Invalid or Missing Data for Displays
Interpret OBD-II code U1235,,SCP (J1850) Invalid or Missing Data for Displays
Interpret OBD-II code U1236,,SCP (J1850) Invalid or Missing Data for Memory Storage
Interpret OBD-II code U1237,,SCP (J1850) Invalid or Missing Data for Memory Storage
Interpret OBD-II code U1238,,SCP (J1850) Invalid or Missing Data for Experimental #4
Interpret OBD-II code U1239,,SCP (J1850) Invalid or Missing Data for Experimental #4
Interpret OBD-II code U1240,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1241,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1242,,SCP (J1850) Invalid or Missing Data for Exterior Environment
Interpret OBD-II code U1243,,SCP (J1850) Invalid or Missing Data for Exterior Environment
Interpret OBD-II code U1244,,SCP (J1850) Invalid or Missing Data for Interior Environment
Interpret OBD-II code U1245,,SCP (J1850) Invalid or Missing Data for Interior Environment
Interpret OBD-II code U1246,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1247,,SCP (J1850) Invalid or Missing Data for Primary Id
Interpret OBD-II code U1248,,SCP (J1850) Invalid or Missing Data for Time / Date
Interpret OBD-II code U1249,,SCP (J1850) Invalid or Missing Data for Time / Date
Interpret OBD-II code U1250,,SCP (J1850) Invalid or Missing Data for Vehicle Id (VIN)
Interpret OBD-II code U1251,,SCP (J1850) Invalid or Missing Data for Vehicle Id (VIN)
Interpret OBD-II code U1252,,SCP (J1850) Invalid or Missing Data for Class A Functions
Interpret OBD-II code U1253,,SCP (J1850) Invalid or Missing Data for Class A Functions
Interpret OBD-II code U1254,,SCP (J1850) Invalid or Missing Data for Network Control
Interpret OBD-II code U1255,,SCP (J1850) Invalid or Missing Data for Network Control
Interpret OBD-II code U1260,,SCP (J1850) Single Ended (+) Circuit Failure
Interpret OBD-II code U1261,,SCP (J1850) Single Ended (-) Circuit Failure
Interpret OBD-II code U1262,,SCP (J1850) Communication Bus Fault
Interpret OBD-II code U1308,,SCP (J1850) Invalid or Missing Data for Function Read  Engine Torque
Interpret OBD-II code U1341,,SCP (J1850) Invalid or Missing Data for Function Read Vehicle Speed
Interpret OBD-II code U1430,,SCP (J1850) Invalid or Missing Data for Function Read Fuel System
Interpret OBD-II code U1451,,SCP (J1850) Invalid or Missing Data for Function Read Audible Warnings /Anti-Theft Module
Interpret OBD-II code U1612,,SCP (J1850) Lack of Acknowledgment for Primary Id
Interpret OBD-II code U1736,,SCP (J1850) Lack of Acknowledgment for  Telltales
Interpret OBD-II code U1750,,SCP (J1850) Lack of Acknowledgment for  Audible Warnings
Interpret OBD-II code U1794,,SCP (J1850) Lack of Acknowledgment for Mirrors
Interpret OBD-II code U1797,,SCP (J1850) Lack of Acknowledgment for  Door Locks
Interpret OBD-II code U1798,,SCP (J1850) Lack of Acknowledgment for  External Access (Doors)
Interpret OBD-II code U1806,,SCP (J1850) Lack of Acknowledgment for Primary Id
Interpret OBD-II code U1900,,CAN Communication Bus Fault
Interpret OBD-II code U1950,,UPB Communication Bus Fault
Interpret OBD-II code U2000,,Audio Rear Control Unit is Not Responding
Interpret OBD-II code U2001,,Audio Tape Deck Unit is Not Responding
Interpret OBD-II code U2002,,Audio Bezel is Not Responding
Interpret OBD-II code U2003,,Audio Compact Disk / Disk Jockey Unit is Not Responding
Interpret OBD-II code U2004,,Audio Steering Wheel Control Unit is Not Responding
Interpret OBD-II code U2005,,Audio Rear Integrated Control Panel Unit is Not Responding
Interpret OBD-II code U2006,,Audio Remote Climate Control Unit is Not Responding
Interpret OBD-II code U2007,,Audio Navigation Unit is Not Responding
Interpret OBD-II code U2008,,Audio Phone is Not Responding
Interpret OBD-II code U2009,,Audio Front Control Module (ACM) is Not Responding
Interpret OBD-II code U2010,,Module is Not Responding (Non SCP)
Interpret OBD-II code U2011,,Module Transmitted Invalid Data (Non SCP)
Interpret OBD-II code U2012,,Communication Bus Error (Non SCP)
